MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924807,-0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,202.6770000,0.0824162,0.0743413,0.0700243
MsgID.LOCAL_VELOCITY,202.6770000,-0.0000028,-0.0000117,0.0000189
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924791,-0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,202.9260000,-0.0889738,-0.0969493,0.0634383
MsgID.LOCAL_VELOCITY,202.9260000,0.0000098,-0.0000094,0.0000143
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924810,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,203.1770000,0.1199389,-0.0793056,0.0453851
MsgID.LOCAL_VELOCITY,203.1770000,0.0000081,-0.0000179,0.0000157
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924810,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,203.4270000,0.1142229,0.0254398,0.0185762
MsgID.LOCAL_VELOCITY,203.4270000,-0.0000110,-0.0000359,0.0000092
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924802,0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,203.6780000,0.0303223,0.1012225,-0.0142038
MsgID.LOCAL_VELOCITY,203.6780000,0.0000011,-0.0000026,-0.1422054
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924802,0.1550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.6800000
MsgID.LOCAL_POSITION,203.9280000,0.0301836,0.1830886,-0.1551161
MsgID.LOCAL_VELOCITY,203.9280000,-0.0005595,-0.0055293,-0.6819848
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924802,0.3680000
